Product Name,Price,Brand,Category,Tags,Image LinkTotal_rate,Count_of_ratings
Johnson's Baby Shampoo - 750ml,67.75,Johnson's,Baby Products,"['Baby Products', 'Bathing & Skin Care', 'Shampoo']",,1
"Pampers Premium Care Diapers Size 4, Maxi, 9-18 Kg (94 diapers)",277.0,Pampers,Baby Products,"['Baby Products', 'Diapering', 'Disposable Diapers']",,1
Hygiene Cool Water Wet Wipes - 70 + 10 Wipes,28.45,Hygiene,Baby Products,"['Baby Products', 'Diapering', 'Wipes & Holders', 'Wipes & Refills']",,1
Eva Clinic Bébé Diaper Rash Cream - 100 gm + Bébé Conditioner - 200 ml,44.0,Eva,Baby Products,"['Baby Products', 'Bathing & Skin Care', 'Skin Care', 'Diaper Creams']",,1
"Pampers Premium Care Diapers Size 1, New Born, 2-5 Kg (22 diapers)",71.41,Pampers,Baby Products,"['Baby Products', 'Diapering', 'Disposable Diapers']",,1
Hygiene Sensitive Skin Baby Wet Wipes - 70 + 10 Wipes,28.7,Hygiene,Baby Products,"['Baby Products', 'Diapering', 'Wipes & Holders', 'Wipes & Refills']",,1
"Pampers Pants with lotion with Olive Oil Size 6, 24 diapers, 16+ kg",94.0,Pampers,Baby Products,"['Baby Products', 'Diapering', 'Disposable Diapers']",,1
Hygiene Refreshing Citrus Fruit Wet Wipes - 15 + 5 Wipes,8.0,Hygiene,Baby Products,"['Baby Products', 'Diapering', 'Wipes & Holders', 'Wipes & Refills']",,1
"Pampers Pants with lotion with Olive Oil Size 4, 60 diapers, 9-14 kg",194.0,Pampers,Baby Products,"['Baby Products', 'Diapering', 'Disposable Diapers']",,1
Hygiene Baby Wet Wipes - 70 + 10 Wipes,33.95,Hygiene,Baby Products,"['Baby Products', 'Diapering', 'Wipes & Holders', 'Wipes & Refills']",,1
Penduline Shampoo For Babies - 250Ml,78.0,Penduline,Baby Products,"['Baby Products', 'Bathing & Skin Care', 'Shampoo']",,1
Aldi Portable Lunch Cooler Bag Folding Picnic Ice Pack Food Thermal Bag,54.99,Aldi,Baby Products,"['Baby Products', 'Feeding', 'Solid Feeding', 'Lunch Bags']",,1
Beesline Whitening Sensitive Zone Soap,105.01,Beesline,Baby Products,"['Baby Products', 'Bathing & Skin Care', 'Soaps & Cleansers']",,1
Eva Clinic Bébé Diaper Rash Cream - 100 gm + Bébé Shampoo ( 12 Months - 36 Months ) - 200 ml,53.2,Eva,Baby Products,"['Baby Products', 'Bathing & Skin Care', 'Skin Care', 'Diaper Creams']",,1
"Pampers Pants with lotion with Olive Oil Size 4, 28 diapers, 9-14 kg",89.0,Pampers,Baby Products,"['Baby Products', 'Diapering', 'Disposable Diapers']",,1
"Pampers Premium Care Diapers Size 4, Maxi, 9-18 Kg (64 diapers)",207.0,Pampers,Baby Products,"['Baby Products', 'Diapering', 'Disposable Diapers']",,1
Cutie Pacifier With A Chain And A Buckle - Yellow,26.0,Cutie,Baby Products,"['Baby Products', 'Feeding', 'Pacifiers & Accessories']",,1
Hygiene Cool Water Wet Wipes - 35 + 5 Wipes,15.0,Hygiene,Baby Products,"['Baby Products', 'Diapering', 'Wipes & Holders', 'Wipes & Refills']",,1
Cutie Pacifier With A Chain And A Buckle - Pink,26.0,Cutie,Baby Products,"['Baby Products', 'Feeding', 'Pacifiers & Accessories']",,1
Penduline Sweets Shower Gel  450ml,74.0,Penduline,Baby Products,"['Baby Products', 'Bathing & Skin Care', 'Soaps & Cleansers', 'Body Wash']",,1
"Pampers Premium Care Pants, Size 5, 12-18 KG, 40 Diapers",272.97,Pampers,Baby Products,"['Baby Products', 'Diapering', 'Disposable Diapers']",,1
Blankie KIDS Detangling Conditioner - Leave- In - 200ML,110.0,Blankie,Baby Products,"['Baby Products', 'Bathing & Skin Care', 'Conditioners']",,1
Cutie Pacifier With A Chain And A Buckle - Orange,20.0,Cutie,Baby Products,"['Baby Products', 'Feeding', 'Pacifiers & Accessories']",,1
Cerelac Wheat With Milk – 125gm,23.6,Cerelac,Baby Products,"['Baby Products', 'Feeding', 'Baby Food', 'Snack Foods']",,1
Eva Skin Clinic Bébé Lotion - 200 Ml,55.0,Eva,Baby Products,"['Baby Products', 'Bathing & Skin Care', 'Skin Care', 'Lotions']",,1
Cerelac Dates and Wheat with Milk – 125gm,26.5,Cerelac,Baby Products,"['Baby Products', 'Feeding', 'Baby Food', 'Cereal']",,1
Penduline Shampoo For Babies - 450Ml,148.99,Penduline,Baby Products,"['Baby Products', 'Bathing & Skin Care', 'Shampoo']",,1
Pampers Wipes Complete Clean - 4 plus 2 free,171.0,Pampers,Baby Products,"['Baby Products', 'Diapering', 'Wipes & Holders', 'Wipes & Refills']",,1
Penduline Baby Wipes Lotion  For Sensitive Skin - 70 Pcs,69.0,Penduline,Baby Products,"['Baby Products', 'Diapering', 'Wipes & Holders', 'Wipes & Refills']",,1
Cerelac 3 Fruits With Wheat and Milk – 250gm,43.95,Cerelac,Baby Products,"['Baby Products', 'Feeding', 'Baby Food', 'Cereal']",,1
Cerelac 3 Fruits With Wheat and Milk – 500gm,84.55,Cerelac,Baby Products,"['Baby Products', 'Feeding', 'Baby Food', 'Cereal']",,1
Hygiene Refreshing Citrus Fruits Wet Wipes - 70 + 10 Wipes,32.0,Hygiene,Baby Products,"['Baby Products', 'Diapering', 'Wipes & Holders', 'Wipes & Refills']",,1
Hygiene Wet Wipes Musk - 35 + 5 Wipes,16.0,Hygiene,Baby Products,"['Baby Products', 'Diapering', 'Wipes & Holders', 'Wipes & Refills']",,1
Cutie Baby Bottle With Handle And Filter - 150ml - Pink,38.0,Cutie,Baby Products,"['Baby Products', 'Feeding', 'Bottle-Feeding', 'Bottles']",,1
"Push Pop-pop Bubble Sensory Fidget Toy,",19.99,Generic,Baby Products,"['Baby Products', 'Baby & Toddler Toys', 'Push & Pull Toys']",,1
Penduline Shower Gel For Babies - 450Ml,74.9,Penduline,Baby Products,"['Baby Products', 'Bathing & Skin Care', 'Soaps & Cleansers', 'Body Wash']",,1
Child Anti Lost Wrist Link Harness Strap - Blue,59.0,Generic,Baby Products,"['Baby Products', 'Safety', 'Rails & Rail Guards']",,1
Cantu Care For Kids Nourishing Conditioner - 237 Ml,138.0,Cantu,Baby Products,"['Baby Products', 'Bathing & Skin Care', 'Conditioners']",,1
Cutie Baby Bottle With Handle And Filter - 250ml - Blue,45.0,Cutie,Baby Products,"['Baby Products', 'Feeding', 'Bottle-Feeding', 'Bottles']",,1
"Blankie 3 In 1 Baby Shampoo, Conditioner & Body Wash -  250ml",200.0,Blankie,Baby Products,"['Baby Products', 'Bathing & Skin Care', 'Conditioners']",,1
"Casual Youth Bag For Unisex, Gray",199.0,Generic,Fashion,"['Fashion', ""Men's Fashion"", 'Bags']",,1
"General In Black, The Cheapest Handbags With Its Wonderful Division",49.99,General,Fashion,"['Fashion', ""Men's Fashion"", 'Bags']",,1
B&G Shoulder Smart Bag - Black,330.0,Generic,Fashion,"['Fashion', ""Men's Fashion"", 'Bags']",,1
General Chic Handbags With Its Special Splendor Division,49.99,General,Fashion,"['Fashion', ""Men's Fashion"", 'Bags']",,1
Men's Leather 3 Pockets Handbag,44.0,Generic,Fashion,"['Fashion', ""Men's Fashion"", 'Bags']",,1
Imported Leather Bag With Mobile Case _ Brown,99.0,Generic,Fashion,"['Fashion', ""Men's Fashion"", 'Bags']",,1
Casual Anti Theft Chest Bag Nylon Waterproof Men Money Phone Sling Bag Female Shoulder Bag Sport Outdoor Backpack,110.0,Generic,Fashion,"['Fashion', ""Men's Fashion"", 'Bags']",,1
Naseeg Crossbody Bag From Naseeg - Black,120.0,Naseeg,Fashion,"['Fashion', ""Men's Fashion"", 'Bags']",,1
Golden Wolf GXB00131 Chest Shoulder Messenger Waterproof Chest USB Crossbody Bag,249.0,Golden Wolf,Fashion,"['Fashion', ""Men's Fashion"", 'Bags']",,1
Men's Leather 3 Pockets Handbag,44.0,Generic,Fashion,"['Fashion', ""Men's Fashion"", 'Bags']",,1
Unisex Leather Backpack - Black,400.0,Generic,Fashion,"['Fashion', ""Men's Fashion"", 'Bags', 'Backpacks']",,1
Clutch Bag Small - Brown,99.0,Generic,Fashion,"['Fashion', ""Men's Fashion"", 'Bags']",,1
B&G Shoulder Smart Bag - Gray,330.0,Generic,Fashion,"['Fashion', ""Men's Fashion"", 'Bags']",,1
External USB Charge Chest Bags #Black,112.0,Generic,Fashion,"['Fashion', ""Men's Fashion"", 'Bags']",,1
Most Stylish Back Bags Against Theft In Its Distinctive Gray Color,150.0,Generic,Fashion,"['Fashion', ""Men's Fashion"", 'Bags']",,1
"Youth Bag, Cross Backpack, One Shoulder And Waterproof Three In One For Travel, Rides And Work Black",179.0,Generic,Fashion,"['Fashion', ""Men's Fashion"", 'Bags']",,1
Golden Wolf GXB00129 Casual Shoulder Chest Anti-theft Waterproof Hand CrossBags,269.0,Golden Wolf,Fashion,"['Fashion', ""Men's Fashion"", 'Bags', 'Messenger Bags']",,1
Golden Wolf Y00028 Nylon Unisex Casual Fashion Waist Chest Crossbody Shoulder Bag,269.0,Golden Wolf,Fashion,"['Fashion', ""Men's Fashion"", 'Bags', 'Messenger Bags']",,1
Naseeg Crossbody Bag From Naseeg - Dark Grey,120.0,Naseeg,Fashion,"['Fashion', ""Men's Fashion"", 'Bags']",,1
Meinaili Backpack For Laptop 15.6 Inches - Black,420.0,Generic,Fashion,"['Fashion', ""Men's Fashion"", 'Bags']",,1
Bundle Of Two Adult Handbags,89.0,Generic,Fashion,"['Fashion', ""Men's Fashion"", 'Bags']",,1
Naseeg Crossbody Bag From Naseeg - Dark Blue,120.0,Naseeg,Fashion,"['Fashion', ""Men's Fashion"", 'Bags']",,1
"Golden Wolf GK0076 9.7-inch Men Casual Shoulder Bags Waterproof Crossbags, Black",379.0,Golden Wolf,Fashion,"['Fashion', ""Men's Fashion"", 'Bags']",,1
Golden Wolf GXB00124 Crossbody Chest One Shoulder Waterproof Backpack Bag With USB,275.0,Golden Wolf,Fashion,"['Fashion', ""Men's Fashion"", 'Bags']",,1
One Shoulder Bag Star-Unisex- Waterproof High Quality,145.0,Generic,Fashion,"['Fashion', ""Men's Fashion"", 'Bags']",,1
Shoulder Bag For 10 Inch Ipad - Black,250.0,Generic,Fashion,"['Fashion', ""Men's Fashion"", 'Bags']",,1
Clutch Bag Small - Black,185.0,Generic,Fashion,"['Fashion', ""Men's Fashion"", 'Bags']",,1
"Casual Youth Bag For Unisex, Black",199.0,Generic,Fashion,"['Fashion', ""Men's Fashion"", 'Bags']",,1
"Bag For Youth Can Be Found On The Hand, Shoulder Or Back In Attractive BLUE Color",144.0,Generic,Fashion,"['Fashion', ""Men's Fashion"", 'Bags']",,1
General In Blue The Most Stylish Handbags Dividing Them By The Distinctive Splendor,35.0,General,Fashion,"['Fashion', ""Men's Fashion"", 'Bags']",,1
Fashion Pyramid Crossbody Bag With USB Charger - Waterproof - Casual - Black,250.0,Fashion Pyramid,Fashion,"['Fashion', ""Men's Fashion"", 'Bags']",,1
One Shoulder HAOSHUAI Bag Front Belt-Unisex-Waterproof-USB Port-Navy,189.0,Generic,Fashion,"['Fashion', ""Men's Fashion"", 'Bags']",,1
Activ Two Main Compartments Canvas Crossbody Bag - Black,325.0,Activ,Fashion,"['Fashion', ""Men's Fashion"", 'Bags']",,1
Bundle Of Two Adult Handbags,89.0,Generic,Fashion,"['Fashion', ""Men's Fashion"", 'Bags']",,1
Activ Two Main Compartments Canvas Crossbody Bag - Dark Grey,325.0,Activ,Fashion,"['Fashion', ""Men's Fashion"", 'Bags']",,1
Fashion Pyramid Best Handbag - Pyramidkit - Waterproof - Black,135.0,Fashion Pyramid,Fashion,"['Fashion', 'Luggage & Travel Gear', 'Messenger Bags']",,1
Cross-body Bag One Shoulder-USB Port-Jinpaidi Professional Casual Style-unisex,189.0,Generic,Fashion,"['Fashion', ""Men's Fashion"", 'Bags']",,1
One Shoulder HAOSHUAI Front Belt Bag-Unisex-Waterproof-USB Port-Grey,199.0,Generic,Fashion,"['Fashion', ""Men's Fashion"", 'Bags']",,1
"Youth Bag, Cross Backpack, One Shoulder And Waterproof Three In One For Travel, Rides And Work Blue",175.0,Generic,Fashion,"['Fashion', ""Men's Fashion"", 'Bags']",,1
Unisex Leather Backpack - Brown,400.0,Generic,Fashion,"['Fashion', ""Men's Fashion"", 'Bags', 'Backpacks']",,1
